round,clone,number,P0,A1,A0,f,ss.f,length,mm,time ,fecundity,death.age,end.size,dead,infected,susceptible,spore yield,mult.inf,mult.uninf,mult.ed,tolerant
1,Bris.6,1,393,361.06,385.9988889,2.823231653,1.998433811,61,1.188579876,0.354861111,10,20,88,1,1,0,49.25,1,0,0,Yes
1,Bris.6,2,393,319.51,385.9988889,7.990982082,5.656442948,61,1.188579876,0.354861111,17,20,84,1,1,0,28.25,1,0,0,Yes
1,Bris.6,3,393,383.03,385.9988889,0.326374556,0.274121541,56,1.091155296,0.354861111,10,18,84,1,1,0,18.625,1,0,0,Yes
1,Bris.6,4,393,357.93,385.9988889,3.191264921,2.334873101,60,1.16909496,0.354861111,13,,81,0,0,1,0,0,1,0,Yes
1,Bris.6,5,393,306.86,385.9988889,9.69856373,7.095905896,60,1.16909496,0.354861111,22,,101,0,0,1,0,0,1,0,Yes
1,Bris.6,6,393,316.26,385.9988889,8.423147448,6.16275392,60,1.16909496,0.354861111,12,22,85,1,1,0,40.375,1,0,0,Yes
1,Bris.6,7,393,291.53,385.9988889,11.86484933,7.873794085,63,1.227549708,0.354861111,22,,96,0,0,1,0,0,1,0,Yes
1,Bris.6,8,393,370.84,385.9988889,1.693498679,1.372897377,57,1.110640212,0.354861111,0,,,,,,,,,,Yes
1,Bris.6,11,393,349.75,385.9988889,4.168498927,2.306133459,69,1.344459204,0.354861111,9,19,72,1,1,0,32,1,0,0,Yes
1,Bris.6,12,393,341.91,385.9988889,5.126806345,3.629026732,61,1.188579876,0.354861111,0,,,,,,,,,,Yes
1,Bris.6,13,393,342.6,385.9988889,5.041588158,4.553892458,54,1.052185464,0.354861111,15,,99,0,0,1,0,0,1,0,Yes
1,Bris.6,14,393,323.53,385.9988889,7.462467994,5.842912984,58,1.130125128,0.354861111,0,,,,,,,,,,Yes
1,Bris.6,15,393,299.03,385.9988889,10.79114815,7.394132013,62,1.208064792,0.354861111,10,17,83,1,1,0,29.875,1,0,0,Yes
1,Cback.256,1,0,307.68,385.9988889,9.004270067,7.562674048,56,1.091155296,0.377777778,24,,91,0,0,1,,0,1,0,No
1,Cback.256,2,0,290.38,385.9988889,11.30204439,10.20874635,54,1.052185464,0.377777778,20,,92,0,0,1,,0,1,0,No
1,Cback.256,3,0,326.85,385.9988889,6.604404123,6.433241825,52,1.013215632,0.377777778,30,,92,0,0,1,,0,1,0,No
1,Cback.256,4,0,291.15,385.9988889,11.19689574,11.33862015,51,0.993730716,0.377777778,19,,93,0,0,1,,0,1,0,No
1,Cback.256,5,0,353.95,385.9988889,3.441659455,3.934489087,48,0.935275968,0.377777778,16,,86,0,0,1,,0,1,0,No
1,Cback.256,6,0,240.54,385.9988889,18.77882142,15.22374654,57,1.110640212,0.377777778,28,,95,0,0,1,,0,1,0,No
1,Cback.256,7,0,240.67,385.9988889,18.75736815,16.33237893,55,1.07167038,0.377777778,20,,94,0,0,1,,0,1,0,No
1,Cback.256,8,0,262.79,385.9988889,15.26608814,15.45931824,51,0.993730716,0.377777778,20,,91,0,0,1,,0,1,0,No
1,Cback.256,9,0,301.13,385.9988889,9.858669845,9.244203724,53,1.032700548,0.377777778,22,,95,0,0,1,,0,1,0,No
1,Cback.256,10,0,293.94,385.9988889,10.81821809,9.771722766,54,1.052185464,0.377777778,21,,92,0,0,1,,0,1,0,No
1,Cback.256,11,0,263.07,385.9988889,15.22380446,14.82925844,52,1.013215632,0.377777778,26,,91,0,0,1,,0,1,0,No
